Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Randomise questionnaire elements?,,END QUESTIONNAIRE
1,1.66784E+12,07/11/2022 15:58,1.66784E+12,1,07/11/2022 16:58,102468,2,questionnaire-mq5s,,25075603,40,7339204,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6.1,1440x900,1440x820,,Debrief,2,163,No,,35323
1,1.66784E+12,07/11/2022 16:02,1.66784E+12,1,07/11/2022 17:01,102468,2,questionnaire-mq5s,,25075767,59,7400909,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 106.0,1920x1080,1920x1080,,Debrief,2,183,No,,37764
1,1.66784E+12,07/11/2022 17:14,1.66784E+12,1,07/11/2022 18:15,102468,2,questionnaire-mq5s,,25078635,46,7361921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1500x1000,1500x800,,Debrief,2,157,No,,11099
1,1.66784E+12,07/11/2022 17:53,1.66784E+12,1,07/11/2022 18:53,102468,2,questionnaire-mq5s,,25079967,23,7339185,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x864,,Debrief,2,168,No,,48612
1,1.66785E+12,07/11/2022 20:16,1.66785E+12,1,07/11/2022 21:16,102468,2,questionnaire-mq5s,,25084626,45,7361918,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x864,,Debrief,2,173,No,,7518
1,1.66786E+12,07/11/2022 21:30,1.66786E+12,1,07/11/2022 22:30,102468,2,questionnaire-mq5s,,25088013,61,7404217,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 106.0,2560x1440,2560x1440,,Debrief,2,168,No,,57249
1,1.66794E+12,08/11/2022 19:17,1.66794E+12,1,08/11/2022 20:17,102468,2,questionnaire-mq5s,,25116257,32,7339193,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x789,,Debrief,2,178,No,,19203
1,1.66795E+12,08/11/2022 22:49,1.66795E+12,1,08/11/2022 23:49,102468,2,questionnaire-mq5s,,25120610,9,7339170,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1680x1050,1680x970,,Debrief,2,157,No,,18345
1,1.66799E+12,09/11/2022 09:44,1.66799E+12,1,09/11/2022 10:44,102468,2,questionnaire-mq5s,,25126627,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1244x830,,Debrief,2,152,No,,51332
1,1.668E+12,09/11/2022 13:27,1.668E+12,1,09/11/2022 14:27,102468,2,questionnaire-mq5s,,25131620,33,7339195,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x821,,Debrief,2,163,No,,16729
1,1.668E+12,09/11/2022 13:45,1.668E+12,1,09/11/2022 14:44,102468,2,questionnaire-mq5s,,25131974,30,7339192,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x657,,Debrief,2,173,No,,17619
1,1.66801E+12,09/11/2022 14:58,1.66801E+12,1,09/11/2022 15:58,102468,2,questionnaire-mq5s,,25135354,22,7339182,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1280x720,1233x569,,Debrief,2,163,No,,8442
1,1.66802E+12,09/11/2022 18:48,1.66802E+12,1,09/11/2022 19:48,102468,2,questionnaire-mq5s,,25140961,49,7361919,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1792x1120,1792x924,,Debrief,2,168,No,,5626
1,1.66811E+12,10/11/2022 20:11,1.66811E+12,1,10/11/2022 21:11,102468,2,questionnaire-mq5s,,25166464,51,7361922,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1494x934,1494x934,,Debrief,2,168,No,,3988
1,1.66815E+12,11/11/2022 08:15,1.66815E+12,1,11/11/2022 09:15,102468,2,questionnaire-mq5s,,25171755,11,7339172,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x1080,,Debrief,2,183,No,,6591
