Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Spreadsheet,height,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level1,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30,Level31,Level32,Level33,Level34,Level35,Level36,Level37,Level38,Level39,Level40,Level41,Level42,Level43,Level44,Level45,Level46,Level47,Level48,Level49,Level50,Level51,Level52,Level53,Level54,Level55,Level56,Level57,Level58,Level59,Level60,Level61,Level62,Level63,Level64,Level65,Level66,Level68,Level70,Level71,Level72,Level73,Level74,Level75,Level76,Level77,Level78,Level79,Level80,Level81,Level82,Level83,Level84,Level85,Level86,Level87,Level88,Level89,Level90,Level91,Level92,Level93,Level94,Level95,Level96,Level97,Level98,Level99,Level100,Level69,image,Level2,ANSWER,Level67,152,157,163,168,173,178,183,188,193,198
21,1667829317431,07/11/2022 13:55:17,1667829317329,1,07/11/2022 14:55:17,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,24,3,15,end,advancementZone,timelimit_screen,17.743000000002212,,,,,0,1,0,,,1,,1,va,V,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V_upper_100.png,0.871324735,,,,,,,,,,,,
22,1667829317874,07/11/2022 13:55:17,1667829317831,1,07/11/2022 14:55:17,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,11,4,1,Screen 1,fixation,fixation,502.86999999999534,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1667829317948,07/11/2022 13:55:17,1667829317869,1,07/11/2022 14:55:17,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,14,4,1,start,script,force_advance,18.006999999997788,,,,,0,1,0,,,,,1,va,N,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_upper_100.png,0.871324735,,,,,,,,,,,,
24,1667829319433,07/11/2022 13:55:19,1667829319378,1,07/11/2022 14:55:19,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,14,4,5,Level4,Zone2,response_text_entry,1502.1000000238419,,Enter Key,n,1,1,0,0,,,,,1,va,N,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_upper_100.png,0.871324735,,,,,,,,,,,,
25,1667829319494,07/11/2022 13:55:19,1667829319388,1,07/11/2022 14:55:19,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,14,4,15,end,advancementZone,timelimit_screen,17.64199999999255,,,,,0,1,0,,,1,,1,va,N,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N_upper_100.png,0.871324735,,,,,,,,,,,,
26,1667829319925,07/11/2022 13:55:19,1667829319888,1,07/11/2022 14:55:19,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,13,5,1,Screen 1,fixation,fixation,499.9060000000027,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1667829319982,07/11/2022 13:55:19,1667829319915,1,07/11/2022 14:55:19,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,6,5,1,start,script,force_advance,17.970999999990454,,,,,0,1,0,,,,,1,va,C,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C_upper_100.png,0.871324735,,,,,,,,,,,,
28,1667829321620,07/11/2022 13:55:21,1667829321578,1,07/11/2022 14:55:21,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,6,5,6,Level5,Zone2,response_text_entry,1656.199999988079,,Enter Key,c,1,1,0,0,,,,,1,va,C,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C_upper_100.png,0.871324735,,,,,,,,,,,,
29,1667829321682,07/11/2022 13:55:21,1667829321590,1,07/11/2022 14:55:21,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,6,5,15,end,advancementZone,timelimit_screen,17.664000000004307,,,,,0,1,0,,,1,,1,va,C,,,1.089162831,0.689795844,0.544574215,0.435658681,0.344896093,0.272286208,0.21782888,0.172447818,0.136142991,0.108914382,0.0871315,0.068979102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C_upper_100.png,0.871324735,,,,,,,,,,,,
30,1667829322138,07/11/2022 13:55:22,1667829322090,1,07/11/2022 14:55:22,102468,2,task-svji,,25070474,41,7339201,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1920x1200,1920x1200,,Vision tests - online,3,193,193,193,193,15,6,1,Screen 1,fixation,fixation,500.3920000000071,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
