Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,Spreadsheet,height,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level1,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30,Level31,Level32,Level33,Level34,Level35,Level36,Level37,Level38,Level39,Level40,Level41,Level42,Level43,Level44,Level45,Level46,Level47,Level48,Level49,Level50,Level51,Level52,Level53,Level54,Level55,Level56,Level57,Level58,Level59,Level60,Level61,Level62,Level63,Level64,Level65,Level66,Level68,Level70,Level71,Level72,Level73,Level74,Level75,Level76,Level77,Level78,Level79,Level80,Level81,Level82,Level83,Level84,Level85,Level86,Level87,Level88,Level89,Level90,Level91,Level92,Level93,Level94,Level95,Level96,Level97,Level98,Level99,Level100,Level69,image,Level2,ANSWER,Level67,152,157,163,168,173,178,183,188,193,198
24,1667986590484,09/11/2022 09:36:30,1667986591147,1,09/11/2022 10:36:31,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1227x683,,Vision tests - online,3,152,152,152,152,16,4,5,Level4,Zone2,response_text_entry,2804.899999976158,,Enter Key,o,1,1,0,0,,,,,1,va,O,,,0.857786271,0.543258903,0.428887465,0.343109428,0.271628011,0.214443024,0.171554351,0.135813825,0.107221423,0.08577713,0.0686217,0.05432551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_upper_100.png,0.686224662,,,,,,,,,,,,
25,1667986590596,09/11/2022 09:36:30,1667986591162,1,09/11/2022 10:36:31,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1227x683,,Vision tests - online,3,152,152,152,152,16,4,15,end,advancementZone,timelimit_screen,16.3420000000624,,,,,0,1,0,,,1,,1,va,O,,,0.857786271,0.543258903,0.428887465,0.343109428,0.271628011,0.214443024,0.171554351,0.135813825,0.107221423,0.08577713,0.0686217,0.05432551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_upper_100.png,0.686224662,,,,,,,,,,,,
26,1667986590969,09/11/2022 09:36:30,1667986591655,1,09/11/2022 10:36:31,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1227x683,,Vision tests - online,3,152,152,152,152,13,5,1,Screen 1,fixation,fixation,500.4179999999469,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1667986591149,09/11/2022 09:36:31,1667986591755,1,09/11/2022 10:36:31,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1227x683,,Vision tests - online,3,152,152,152,152,8,5,1,start,script,force_advance,66.69099999999162,,,,,0,1,0,,,,,1,va,D,,,0.857786271,0.543258903,0.428887465,0.343109428,0.271628011,0.214443024,0.171554351,0.135813825,0.107221423,0.08577713,0.0686217,0.05432551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D_upper_100.png,0.686224662,,,,,,,,,,,,
28,1667986593660,09/11/2022 09:36:33,1667986594349,1,09/11/2022 10:36:34,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1227x683,,Vision tests - online,3,152,152,152,152,8,5,6,Level5,Zone2,response_text_entry,2575,,Enter Key,d,1,1,0,0,,,,,1,va,D,,,0.857786271,0.543258903,0.428887465,0.343109428,0.271628011,0.214443024,0.171554351,0.135813825,0.107221423,0.08577713,0.0686217,0.05432551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D_upper_100.png,0.686224662,,,,,,,,,,,,
29,1667986593738,09/11/2022 09:36:33,1667986594364,1,09/11/2022 10:36:34,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1227x683,,Vision tests - online,3,152,152,152,152,8,5,15,end,advancementZone,timelimit_screen,16.339999999967404,,,,,0,1,0,,,1,,1,va,D,,,0.857786271,0.543258903,0.428887465,0.343109428,0.271628011,0.214443024,0.171554351,0.135813825,0.107221423,0.08577713,0.0686217,0.05432551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D_upper_100.png,0.686224662,,,,,,,,,,,,
30,1667986594170,09/11/2022 09:36:34,1667986594857,1,09/11/2022 10:36:34,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1227x683,,Vision tests - online,3,152,152,152,152,15,6,1,Screen 1,fixation,fixation,500.6500000000233,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1667986594350,09/11/2022 09:36:34,1667986594937,1,09/11/2022 10:36:34,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1227x683,,Vision tests - online,3,152,152,152,152,10,6,1,start,script,force_advance,49.75300000002608,,,,,0,1,0,,,,,1,va,H,,,0.857786271,0.543258903,0.428887465,0.343109428,0.271628011,0.214443024,0.171554351,0.135813825,0.107221423,0.08577713,0.0686217,0.05432551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_upper_100.png,0.686224662,,,,,,,,,,,,
32,1667986620299,09/11/2022 09:37:00,1667986620991,1,09/11/2022 10:37:00,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1244x830,,Vision tests - online,3,152,152,152,152,10,6,7,Level6,Zone2,response_text_entry,26032.399999976158,,Enter Key,h,1,1,0,0,,,,,1,va,H,,,0.857786271,0.543258903,0.428887465,0.343109428,0.271628011,0.214443024,0.171554351,0.135813825,0.107221423,0.08577713,0.0686217,0.05432551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_upper_100.png,0.686224662,,,,,,,,,,,,
33,1667986620378,09/11/2022 09:37:00,1667986621008,1,09/11/2022 10:37:01,102468,2,task-dqjp,,25126239,38,7339199,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1244x830,,Vision tests - online,3,152,152,152,152,10,6,15,end,advancementZone,timelimit_screen,16.41800000006333,,,,,0,1,0,,,1,,1,va,H,,,0.857786271,0.543258903,0.428887465,0.343109428,0.271628011,0.214443024,0.171554351,0.135813825,0.107221423,0.08577713,0.0686217,0.05432551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_upper_100.png,0.686224662,,,,,,,,,,,,
