Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?,firstName,firstName-text,firstName-quantised,middleName,middleName-text,middleName-quantised,birthPlace,birthPlace-text,birthPlace-quantised,height,height-text,height-quantised,dob-year,dob-month,dob-day,dob-inmonths,Handedness,Handedness-text,Handedness-quantised,END QUESTIONNAIRE
1,1667470692850,03/11/2022 10:18:12,1667470692628,1,03/11/2022 11:18:12,102467,5,questionnaire-u67w,,24974585,47,7369223,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x797,,demographicsLab,1,,,,preTest,173,No,f,,6,w,,23,l,,12,"5'7"" - 5'8""",,5,,,,279,Right,,2,137734
1,1667466646262,03/11/2022 09:10:46,1667466697864,1,03/11/2022 10:11:37,102467,5,questionnaire-u67w,,24973301,46,7369222,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1500x1000,1500x857,,demographicsLab,1,,,,preTest,157,No,m,,13,I do not have a middle name,,27,t,,20,"5'1"" - 5'2""",,2,,,,410,Right,,2,105143
1,1667464141501,03/11/2022 08:29:01,1667464141443,1,03/11/2022 09:29:01,102467,5,questionnaire-u67w,,24972610,14,7339228,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.6.1,834x1112,1112x731,,demographicsLab,1,,,,preTest,173,No,t,,20,f,,6,l,,12,"5'7"" - 5'8""",,5,,,,272,Right,,2,84037
1,1667462599362,03/11/2022 08:03:19,1667462605936,1,03/11/2022 09:03:25,102467,5,questionnaire-u67w,,24971626,13,7339230,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 106.0.1370.47,1280x720,1280x601,,demographicsLab,1,,onlineFirst,168,no_preTest,,No,f,,6,I do not have a middle name,,27,b,,2,"5'5"" - 5'6""",,4,,,,292,Right,,2,58867
1,1667404260481,02/11/2022 15:51:00,1667404262059,1,02/11/2022 16:51:02,102467,5,questionnaire-u67w,,24957478,12,7339227,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x760,,demographicsLab,1,168,chartFirst,,no_preTest,,No,o,,15,m,,13,o,,15,"5'5"" - 5'6""",,4,,,,306,Right,,2,196433
1,1667403544483,02/11/2022 15:39:04,1667403545770,1,02/11/2022 16:39:05,102467,5,questionnaire-u67w,,24957225,11,7339226,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x625,,demographicsLab,1,,,,preTest,183,No,m,,13,j,,10,b,,2,"5'11"" - 6'0""",,7,,,,360,Right,,2,77870
1,1667401602118,02/11/2022 15:06:42,1667401602930,1,02/11/2022 16:06:42,102467,5,questionnaire-u67w,,24956504,45,7369219,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1536x864,1536x754,,demographicsLab,1,,,,preTest,173,No,s,,19,I do not have a middle name,,27,o,,15,"5'7"" - 5'8""",,5,,,,249,Right,,2,68028
1,1667400394779,02/11/2022 14:46:34,1667400394679,1,02/11/2022 15:46:34,102467,5,questionnaire-u67w,,24956011,55,7372109,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1512x982,1356x793,,demographicsLab,1,,onlineFirst,157,no_preTest,,No,h,,8,r,,18,k,,11,"5'1"" - 5'2""",,2,,,,513,Right,,2,80999
1,1667398680970,02/11/2022 14:18:00,1667398680863,1,02/11/2022 15:18:00,102467,5,questionnaire-u67w,,24955045,8,7339224,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,demographicsLab,1,,onlineFirst,178,no_preTest,,No,a,,1,p,,16,h,,8,"5'9"" - 5'10""",,6,,,,559,Right,,2,52134
1,1667383441796,02/11/2022 10:04:01,1667383440138,1,02/11/2022 11:04:00,102467,5,questionnaire-u67w,,24949609,6,7339218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1366x768,1366x649,,demographicsLab,1,,,,preTest,163,No,s,,19,l,,12,k,,11,"5'3"" - 5'4""",,3,,,,231,Right,,2,72708
1,1667382638765,02/11/2022 09:50:38,1667382638640,1,02/11/2022 10:50:38,102467,5,questionnaire-u67w,,24949426,5,7339220,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1440x900,1440x789,,demographicsLab,1,,,,preTest,173,No,k,,11,m,,13,l,,12,"5'7"" - 5'8""",,5,,,,259,Right,,2,54181
1,1667381601471,02/11/2022 09:33:21,1667381601085,1,02/11/2022 10:33:21,102467,5,questionnaire-u67w,,24949237,4,7339217,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x609,,demographicsLab,1,,,,preTest,168,No,l,,12,s,,19,s,,19,"5'5"" - 5'6""",,4,,,,280,Right,,2,83164
1,1667379896644,02/11/2022 09:04:56,1667379895991,1,02/11/2022 10:04:55,102467,5,questionnaire-u67w,,24949019,3,7339221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1173x660,1173x520,,demographicsLab,1,178,chartFirst,,no_preTest,,No,s,,19,s,,19,t,,20,"5'9"" - 5'10""",,6,,,,266,Right,,2,74108
END OF FILE
