Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,Spreadsheet,height,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level1,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30,Level31,Level32,Level33,Level34,Level35,Level36,Level37,Level38,Level39,Level40,Level41,Level42,Level43,Level44,Level45,Level46,Level47,Level48,Level49,Level50,Level51,Level52,Level53,Level54,Level55,Level56,Level57,Level58,Level59,Level60,Level61,Level62,Level63,Level64,Level65,Level66,Level68,Level70,Level71,Level72,Level73,Level74,Level75,Level76,Level77,Level78,Level79,Level80,Level81,Level82,Level83,Level84,Level85,Level86,Level87,Level88,Level89,Level90,Level91,Level92,Level93,Level94,Level95,Level96,Level97,Level98,Level99,Level100,Level69,image,Level2,ANSWER,Level67,152,157,163,168,173,178,183,188,193,198
21,1666342978009,21/10/2022 09:02:58,1666342977964,1,21/10/2022 10:02:57,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,11,4,1,Screen 1,fixation,fixation,499.74900000000343,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1666342978098,21/10/2022 09:02:58,1666342978003,1,21/10/2022 10:02:58,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,18,4,1,start,script,force_advance,33.233000000000175,,,,,0,1,0,,,,,1,va,R,,,1.00451287,0.636184768,0.502249795,0.401799198,0.318090697,0.251124067,0.200899174,0.159045138,0.12556193,0.100449534,0.080359622,0.063618031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_upper_100.png,0.803605196,,,,,,,,,,,,
23,1666342979403,21/10/2022 09:02:59,1666342979359,1,21/10/2022 10:02:59,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,18,4,5,Level4,Zone2,response_text_entry,1347.7000000178814,,Enter Key,r,1,1,0,0,,,,,1,va,R,,,1.00451287,0.636184768,0.502249795,0.401799198,0.318090697,0.251124067,0.200899174,0.159045138,0.12556193,0.100449534,0.080359622,0.063618031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_upper_100.png,0.803605196,,,,,,,,,,,,
24,1666342979461,21/10/2022 09:02:59,1666342979373,1,21/10/2022 10:02:59,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,18,4,15,end,advancementZone,timelimit_screen,16.510999999998603,,,,,0,1,0,,,1,,1,va,R,,,1.00451287,0.636184768,0.502249795,0.401799198,0.318090697,0.251124067,0.200899174,0.159045138,0.12556193,0.100449534,0.080359622,0.063618031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_upper_100.png,0.803605196,,,,,,,,,,,,
25,1666342979912,21/10/2022 09:02:59,1666342979862,1,21/10/2022 10:02:59,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,13,5,1,Screen 1,fixation,fixation,499.65000000000146,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1666342979992,21/10/2022 09:02:59,1666342979903,1,21/10/2022 10:02:59,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,10,5,1,start,script,force_advance,33.23399999999674,,,,,0,1,0,,,,,1,va,H,,,1.00451287,0.636184768,0.502249795,0.401799198,0.318090697,0.251124067,0.200899174,0.159045138,0.12556193,0.100449534,0.080359622,0.063618031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_upper_100.png,0.803605196,,,,,,,,,,,,
27,1666342983034,21/10/2022 09:03:03,1666342982999,1,21/10/2022 10:03:02,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,10,5,6,Level5,Zone2,response_text_entry,3086.5,,Enter Key,h,1,1,0,0,,,,,1,va,H,,,1.00451287,0.636184768,0.502249795,0.401799198,0.318090697,0.251124067,0.200899174,0.159045138,0.12556193,0.100449534,0.080359622,0.063618031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_upper_100.png,0.803605196,,,,,,,,,,,,
28,1666342983093,21/10/2022 09:03:03,1666342983012,1,21/10/2022 10:03:03,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,10,5,15,end,advancementZone,timelimit_screen,16.28399999999965,,,,,0,1,0,,,1,,1,va,H,,,1.00451287,0.636184768,0.502249795,0.401799198,0.318090697,0.251124067,0.200899174,0.159045138,0.12556193,0.100449534,0.080359622,0.063618031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H_upper_100.png,0.803605196,,,,,,,,,,,,
29,1666342983553,21/10/2022 09:03:03,1666342983511,1,21/10/2022 10:03:03,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,15,6,1,Screen 1,fixation,fixation,500.0060000000012,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1666342983641,21/10/2022 09:03:03,1666342983541,1,21/10/2022 10:03:03,89874,8,task-mtak,,24731197,BLIND,7300015,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,178,178,178,178,8,6,1,start,script,force_advance,16.37199999999575,,,,,0,1,0,,,,,1,va,D,,,1.00451287,0.636184768,0.502249795,0.401799198,0.318090697,0.251124067,0.200899174,0.159045138,0.12556193,0.100449534,0.080359622,0.063618031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D_upper_100.png,0.803605196,,,,,,,,,,,,
