Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,Spreadsheet,height,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,letter,ACQ_answer,ACQ,Level1,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30,Level31,Level32,Level33,Level34,Level35,Level36,Level37,Level38,Level39,Level40,Level41,Level42,Level43,Level44,Level45,Level46,Level47,Level48,Level49,Level50,Level51,Level52,Level53,Level54,Level55,Level56,Level57,Level58,Level59,Level60,Level61,Level62,Level63,Level64,Level65,Level66,Level68,Level70,Level71,Level72,Level73,Level74,Level75,Level76,Level77,Level78,Level79,Level80,Level81,Level82,Level83,Level84,Level85,Level86,Level87,Level88,Level89,Level90,Level91,Level92,Level93,Level94,Level95,Level96,Level97,Level98,Level99,Level100,Level69,image,Level2,ANSWER,Level67,152,157,163,168,173,178,183,188,193,198
21,1666256970982,20/10/2022 09:09:30,1666256972688,1,20/10/2022 10:09:32,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,11,4,1,Screen 1,fixation,fixation,499.99199999999837,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1666256971317,20/10/2022 09:09:31,1666256972729,1,20/10/2022 10:09:32,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,20,4,1,start,script,force_advance,32.92899999997462,,,,,0,1,0,,,,,1,va,S,,,0.976296216,0.618314409,0.488141654,0.390512704,0.309155565,0.24407002,0.195255939,0.154577578,0.122034909,0.097627918,0.078102329,0.061831008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_upper_100.png,0.781032016,,,,,,,,,,,,
23,1666256972274,20/10/2022 09:09:32,1666256973964,1,20/10/2022 10:09:33,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,20,4,5,Level4,Zone2,response_text_entry,1225.5,,Enter Key,s,1,1,0,0,,,,,1,va,S,,,0.976296216,0.618314409,0.488141654,0.390512704,0.309155565,0.24407002,0.195255939,0.154577578,0.122034909,0.097627918,0.078102329,0.061831008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_upper_100.png,0.781032016,,,,,,,,,,,,
24,1666256972318,20/10/2022 09:09:32,1666256973976,1,20/10/2022 10:09:33,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,20,4,15,end,advancementZone,timelimit_screen,16.32799999997951,,,,,0,1,0,,,1,,1,va,S,,,0.976296216,0.618314409,0.488141654,0.390512704,0.309155565,0.24407002,0.195255939,0.154577578,0.122034909,0.097627918,0.078102329,0.061831008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_upper_100.png,0.781032016,,,,,,,,,,,,
25,1666256972787,20/10/2022 09:09:32,1666256974470,1,20/10/2022 10:09:34,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,13,5,1,Screen 1,fixation,fixation,499.9109999999928,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1666256972871,20/10/2022 09:09:32,1666256974514,1,20/10/2022 10:09:34,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,24,5,1,start,script,force_advance,33.08900000000722,,,,,0,1,0,,,,,1,va,V,,,0.976296216,0.618314409,0.488141654,0.390512704,0.309155565,0.24407002,0.195255939,0.154577578,0.122034909,0.097627918,0.078102329,0.061831008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V_upper_100.png,0.781032016,,,,,,,,,,,,
27,1666256974038,20/10/2022 09:09:34,1666256975732,1,20/10/2022 10:09:35,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,24,5,6,Level5,Zone2,response_text_entry,1208.5,,Enter Key,v,1,1,0,0,,,,,1,va,V,,,0.976296216,0.618314409,0.488141654,0.390512704,0.309155565,0.24407002,0.195255939,0.154577578,0.122034909,0.097627918,0.078102329,0.061831008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V_upper_100.png,0.781032016,,,,,,,,,,,,
28,1666256974105,20/10/2022 09:09:34,1666256975747,1,20/10/2022 10:09:35,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,24,5,15,end,advancementZone,timelimit_screen,16.271999999997206,,,,,0,1,0,,,1,,1,va,V,,,0.976296216,0.618314409,0.488141654,0.390512704,0.309155565,0.24407002,0.195255939,0.154577578,0.122034909,0.097627918,0.078102329,0.061831008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V_upper_100.png,0.781032016,,,,,,,,,,,,
29,1666256974543,20/10/2022 09:09:34,1666256976235,1,20/10/2022 10:09:36,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,15,6,1,Screen 1,fixation,fixation,500.07300000000396,,,,,0,1,0,,,,,,cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1666256974641,20/10/2022 09:09:34,1666256976274,1,20/10/2022 10:09:36,89874,8,task-vh3j,,24708656,BLIND,7293776,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1280x720,1280x577,,Vision tests - online,9,,onlineFirst,173,173,173,173,12,6,1,start,script,force_advance,32.920000000012806,,,,,0,1,0,,,,,1,va,K,,,0.976296216,0.618314409,0.488141654,0.390512704,0.309155565,0.24407002,0.195255939,0.154577578,0.122034909,0.097627918,0.078102329,0.061831008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K_upper_100.png,0.781032016,,,,,,,,,,,,
